#,obj_tags,obj_count,raw_id,identifier,typ,coord1_(ICRS,J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,bib,not
157,,0,(null),LEDA 1800469,GiC,15 58 24.5085706032 +27 11 25.609827516,~,~,~,~,~,~,9,0
158,,0,(null),LEDA 3495155,rG,15 58 24.6568722648 +27 13 46.254736956,~,~,~,~,~,~,9,0
159,,0,(null),2MASX J15582542+2714450,GiC,15 58 25.4334261696 +27 14 44.957410620,~,~,~,~,~,~,8,0
160,,0,(null),ACO 2142,ClG,15 58 26.5 +27 13 52,~,~,~,~,~,~,814,0
161,,0,(null),2MASX J15582661+2719120,GiC,15 58 26.6358968400 +27 19 11.742117852,~,~,~,~,~,~,9,0
162,,0,(null),[OHF95] ACO 2142 214,GiC,15 58 28.3468095840 +27 13 47.319972636,~,~,~,~,~,~,5,0
163,,0,(null),2MASX J15582938+2727341,GiC,15 58 29.3450309616 +27 27 34.611845904,~,~,~,~,~,~,8,0
164,,0,(null),2MASX J15582955+2706550,GiC,15 58 29.5947109329 +27 06 55.193863057,~,~,~,~,~,~,9,0
165,,0,(null),LEDA 1805777,LIN,15 58 31.5208725696 +27 21 43.712209800,~,~,~,~,~,~,10,0
166,,0,(null),2MASX J15583173+2656321,GiC,15 58 31.732 +26 56 32.11,~,~,~,~,~,~,7,0
167,,0,(null),LEDA 56536,GiC,15 58 31.9891786608 +27 28 24.225210552,~,16.5,~,~,~,~,11,0
168,,0,(null),2MASX J15583262+2707251,GiC,15 58 32.6247683064 +27 07 25.063057920,~,~,~,~,~,~,5,0
169,,0,(null),[OHF95] ACO 2142 222,GiC,15 58 33.8375549184 +27 15 36.698444208,~,~,~,~,~,~,8,0
170,,0,(null),2MASX J15583704+2708171,GiC,15 58 37.0344436536 +27 08 16.811085516,~,~,~,~,~,~,8,0
171,,0,(null),2MASX J15583899+2714021,GiC,15 58 39.0084521760 +27 14 01.701810276,~,~,~,~,~,~,7,0
172,,0,(null),Z 167-7,BiC,15 58 39.0399283224 +26 58 36.939061560,~,16.24,~,~,~,~,18,0
173,,0,(null),2MASX J15583929+2716181,GiC,15 58 39.2632853688 +27 16 17.912570376,~,~,~,~,~,~,7,0
174,,0,(null),2MASX J15583959+2713511,GiC,15 58 39.5606630376 +27 13 51.584787696,~,~,~,~,~,~,9,0
175,,0,(null),2MASX J15583996+2706201,GiC,15 58 39.9779518056 +27 06 20.102173488,~,~,~,~,~,~,8,0
176,,0,(null),SDSS J155839.99+265839.5,LIN,15 58 39.9997627656 +26 58 39.634875192,~,~,~,~,~,~,9,0
177,,0,(null),LEDA 1802376,GiC,15 58 41.4472041840 +27 15 10.377246492,~,~,~,~,~,~,8,0
178,,0,(null),LEDA 1798530,GiC,15 58 42.8271929976 +27 07 35.941346328,~,~,~,~,~,~,11,0
179,,0,(null),[OHF95] ACO 2142 334,GiC,15 58 43.0692679584 +26 59 06.775819260,~,~,~,~,~,~,6,0
180,,0,(null),2MASX J15584357+2720070,GiC,15 58 43.5915904800 +27 20 06.954871020,~,~,~,~,~,~,9,0
181,,0,(null),LEDA 1804305,GiC,15 58 43.6758148824 +27 18 58.502193228,~,~,~,~,~,~,6,0
182,,0,(null),2MASX J15584536+2711520,BiC,15 58 45.3213261672 +27 11 52.119075192,~,~,~,~,~,~,12,0
183,,0,(null),[OHF95] ACO 2142 252,GiC,15 58 46.9639662960 +27 15 53.550556128,~,~,~,~,~,~,7,0
184,,0,(null),LEDA 1807202,EmG,15 58 47.2353268080 +27 24 28.303315236,~,~,~,~,~,~,9,0
185,,0,(null),2MASX J15584961+2705163,GiC,15 58 49.5817170264 +27 05 16.264751028,~,~,~,~,~,~,8,0
186,,0,(null),2MASX J15584971+2726393,GiC,15 58 49.6814877168 +27 26 39.527641140,~,16.60,~,~,~,~,12,0
187,,0,(null),IRAS 15567+2731,rG,15 58 50.4688817736 +27 23 24.669074760,~,~,13.07,~,~,~,23,1
188,,0,(null),LEDA 1795286,GiC,15 58 54.5230436712 +27 00 48.959311680,~,~,~,~,~,~,4,0
189,,0,(null),2MASX J15585573+2716403,GiC,15 58 55.7218246320 +27 16 40.212684516,~,~,~,~,~,~,9,0
